"Hele landet";"I alt";"2020K1";"86 år";17963;7180;10783
"Hele landet";"I alt";"2020K1";"87 år";15647;6027;9620
"Hele landet";"I alt";"2020K1";"88 år";13431;4999;8432
"Hele landet";"I alt";"2020K1";"89 år";11590;4128;7462
"Hele landet";"I alt";"2020K1";"90 år";9717;3353;6364
"Hele landet";"I alt";"2020K1";"91 år";8368;2697;5671
"Hele landet";"I alt";"2020K1";"92 år";6701;2034;4667
"Hele landet";"I alt";"2020K1";"93 år";5605;1604;4001
"Hele landet";"I alt";"2020K1";"94 år";4323;1134;3189
"Hele landet";"I alt";"2020K1";"95 år";3265;776;2489
"Hele landet";"I alt";"2020K1";"96 år";2322;505;1817
"Hele landet";"I alt";"2020K1";"97 år";1578;326;1252
"Hele landet";"I alt";"2020K1";"98 år";1193;229;964
"Hele landet";"I alt";"2020K1";"99 år";822;139;683
"Hele landet";"I alt";"2020K1";"100 år";490;86;404
"Hele landet";"I alt";"2020K1";"101 år";290;50;240
"Hele landet";"I alt";"2020K1";"102 år";134;13;121
"Hele landet";"I alt";"2020K1";"103 år";108;15;93
"Hele landet";"I alt";"2020K1";"104 år";54;4;50
"Hele landet";"I alt";"2020K1";"105 år";30;3;27
"Hele landet";"I alt";"2020K1";"106 år";18;3;15
"Hele landet";"I alt";"2020K1";"107 år";8;2;6
"Hele landet";"I alt";"2020K1";"108 år";0;0;0
"Hele landet";"I alt";"2020K1";"109 år";1;0;1
"Hele landet";"I alt";"2020K1";"110 år";0;0;0
"Hele landet";"I alt";"2020K1";"111 år";1;0;1
"Hele landet";"I alt";"2020K1";"112 år";0;0;0
"Hele landet";"I alt";"2020K1";"113 år";0;0;0
"Hele landet";"I alt";"2020K1";"114 år";0;0;0
"Hele landet";"I alt";"2020K1";"115 år";0;0;0
"Hele landet";"I alt";"2020K1";"116 år";0;0;0
"Hele landet";"I alt";"2020K1";"117 år";0;0;0
"Hele landet";"I alt";"2020K1";"118 år";0;0;0
"Hele landet";"I alt";"2020K1";"119 år";0;0;0
"Hele landet";"I alt";"2020K1";"120 år";0;0;0
"Hele landet";"I alt";"2020K1";"121 år";0;0;0
"Hele landet";"I alt";"2020K1";"122 år";0;0;0
"Hele landet";"I alt";"2020K1";"123 år";0;0;0
"Hele landet";"I alt";"2020K1";"124 år";0;0;0
"Hele landet";"I alt";"2020K1";"125 år";0;0;0
